type,intervals,time,precision 
trap,1,0,104.72
trap,2,0.01,101.342
trap,4,0.01,100.333
trap,8,0.02,100.083
trap,16,0.05,100.021
trap,32,0.08,100.005
trap,64,0.16,100.001
trap,128,0.3,100
trap,256,0.59,100
trap,512,1.17,100
trap,1024,2.35,100
trap,2048,4.68,100
trap,4096,9.4,100
trap,8192,18.82,100
trap,16384,37.57,100
romb,0,0.01,104.72
romb,1,0,100.264
romb,2,0.02,99.9833
romb,3,0.04,100
romb,4,0.13,100
romb,5,0.3,100
romb,6,0.59,100
romb,7,1.14,100
romb,8,2.2,100
romb,9,4.29,100
romb,10,8.35,100
romb,11,16.47,100
romb,12,32.69,100
romb,13,65.4,100
romb,14,131.5,100
